batch_id,file_id,filename,source_path,module,subtopic,version_type,pages,preliminary_question_estimate,estimate_requires_parser_validation,text_extraction_class,low_text_pages,image_pages,formula_strategy,source_signals,user_rights_declaration,production_rights_status,ingest_priority,target_visibility
BATCH-2026-08-001,USRPDF-017,概率统计（精选30题）（解析版）(1).pdf,D:\高中数学\2026-08\概率统计（精选30题）（解析版）(1).pdf,统计与概率,概率统计综合,teacher_or_solved,38,30,True,text_layer_good,0,2,text_blocks_plus_math_formula_reconstruction,eduediter_metadata_and_branded_layout,commercial_display|adaptation|model_training,hold_for_written_license_evidence,P1_structured_pilot,rights_quarantine_until_evidence_checked
BATCH-2026-08-001,USRPDF-018,直线与圆、圆锥曲线（解析版）(1).pdf,D:\高中数学\2026-08\直线与圆、圆锥曲线（解析版）(1).pdf,解析几何,直线与圆|圆锥曲线,teacher_or_solved,40,50,True,text_layer_good,0,32,text_blocks_plus_math_formula_reconstruction,eduediter_metadata_and_branded_layout,commercial_display|adaptation|model_training,hold_for_written_license_evidence,P1_structured_pilot,rights_quarantine_until_evidence_checked
BATCH-2026-08-001,USRPDF-019,直线与圆重难点1：斜率与距离最值问题(1).pdf,D:\高中数学\2026-08\直线与圆重难点1：斜率与距离最值问题(1).pdf,直线与圆,直线与圆综合,unknown,3,10,True,text_layer_good,0,3,text_blocks_plus_math_formula_reconstruction,explicit_xkw_text,commercial_display|adaptation|model_training,hold_for_written_license_evidence,P1_structured_pilot,rights_quarantine_until_evidence_checked
BATCH-2026-08-001,USRPDF-020,直线与圆重难点2：与圆有关的轨迹方程（含解析）(1).pdf,D:\高中数学\2026-08\直线与圆重难点2：与圆有关的轨迹方程（含解析）(1).pdf,直线与圆,直线与圆综合,teacher_or_solved,23,50,True,text_layer_good,0,23,text_blocks_plus_math_formula_reconstruction,no_explicit_signal_found,commercial_display|adaptation|model_training,provisional_user_attestation,P1_structured_pilot,rights_quarantine_until_evidence_checked
BATCH-2026-08-001,USRPDF-021,直线与圆重难点3： 圆中的范围与最值问题(1).pdf,D:\高中数学\2026-08\直线与圆重难点3： 圆中的范围与最值问题(1).pdf,直线与圆,直线与圆综合,unknown,55,69,True,text_layer_good,0,55,text_blocks_plus_math_formula_reconstruction,no_explicit_signal_found,commercial_display|adaptation|model_training,provisional_user_attestation,P1_structured_pilot,rights_quarantine_until_evidence_checked
BATCH-2026-08-001,USRPDF-022,直线与圆重难点4：圆交线、圆切线的最值分析（含解析）(1).pdf,D:\高中数学\2026-08\直线与圆重难点4：圆交线、圆切线的最值分析（含解析）(1).pdf,直线与圆,直线与圆综合,teacher_or_solved,7,27,True,text_layer_good,0,7,text_blocks_plus_math_formula_reconstruction,explicit_xkw_text,commercial_display|adaptation|model_training,hold_for_written_license_evidence,P1_structured_pilot,rights_quarantine_until_evidence_checked
BATCH-2026-08-001,USRPDF-023,秒杀高考导数【导数精讲+十年真题】(1).pdf,D:\高中数学\2026-08\秒杀高考导数【导数精讲+十年真题】(1).pdf,函数与导数,导数专题,unknown,130,191,True,text_layer_good,0,82,text_blocks_plus_math_formula_reconstruction,no_explicit_signal_found,commercial_display|adaptation|model_training,provisional_user_attestation,P2_large_document_parser,rights_quarantine_until_evidence_checked
BATCH-2026-08-001,USRPDF-024,立体几何必考经典解答题全归类【十大题型】（举一反三）（新高考专用）（原卷版）(1).pdf,D:\高中数学\2026-08\立体几何必考经典解答题全归类【十大题型】（举一反三）（新高考专用）（原卷版）(1).pdf,立体几何,立体几何综合,student_or_question_only,31,33,True,text_layer_good,0,31,text_blocks_plus_math_formula_reconstruction,explicit_xkw_text,commercial_display|adaptation|model_training,hold_for_written_license_evidence,P2_question_only,rights_quarantine_until_evidence_checked
BATCH-2026-08-001,USRPDF-025,统计与概率：条件概率、全概率公式与贝叶斯公式、全概率公式与数列综合复习讲义（解析版）(1).pdf,D:\高中数学\2026-08\统计与概率：条件概率、全概率公式与贝叶斯公式、全概率公式与数列综合复习讲义（解析版）(1).pdf,数列,数列综合,teacher_or_solved,46,66,True,text_layer_good,0,2,text_blocks_plus_math_formula_reconstruction,eduediter_metadata_and_branded_layout,commercial_display|adaptation|model_training,hold_for_written_license_evidence,P1_structured_pilot,rights_quarantine_until_evidence_checked
BATCH-2026-08-001,USRPDF-026,重难点培优 解三角形解答题题型全归纳（学生版）(1).pdf,D:\高中数学\2026-08\重难点培优 解三角形解答题题型全归纳（学生版）(1).pdf,三角函数,解三角形,student_or_question_only,40,90,True,text_layer_good,0,23,text_blocks_plus_math_formula_reconstruction,eduediter_metadata_and_branded_layout,commercial_display|adaptation|model_training,hold_for_written_license_evidence,P2_question_only,rights_quarantine_until_evidence_checked
BATCH-2026-08-001,USRPDF-027,（解析）高一数学题型汇编（不等式、函数和三角函数）（解析）(1).pdf,D:\高中数学\2026-08\（解析）高一数学题型汇编（不等式、函数和三角函数）（解析）(1).pdf,高一综合,不等式|函数|三角函数,teacher_or_solved,603,674,True,text_layer_good,1,172,text_blocks_plus_math_formula_reconstruction,no_explicit_signal_found,commercial_display|adaptation|model_training,provisional_user_attestation,P2_large_document_parser,rights_quarantine_until_evidence_checked
