node_id,parent_id,volume,node_type,code,name,description,prerequisite_node_ids,primary_competencies,typical_question_types,common_errors,gaokao_priority,status,reviewed_by
kp_r1_3_4_03,pep_a_r1_c3_s4,必修第一册,knowledge_point,3.4.3,函数模型最优化,利用单调性或二次函数求实际最值,kp_r1_3_2_03|kp_r1_2_3_02,数学建模|数学运算,利润成本|面积最值,数学最值不符合实际范围,high,ready_for_teacher_review,user_pending
pep_a_r1_c4,pep_a_r1,必修第一册,chapter,4,指数函数与对数函数,指数对数运算及函数模型,pep_a_r1_c3,数学运算|直观想象|数学建模,选择题|填空题|解答题,底数条件和定义域遗漏,high,ready_for_teacher_review,user_pending
pep_a_r1_c4_s1,pep_a_r1_c4,必修第一册,section,4.1,指数,根式分数指数幂和运算性质,pep_a_r1_c3_s1,数学运算,选择题|填空题,偶次根与绝对值遗漏,high,ready_for_teacher_review,user_pending
kp_r1_4_1_01,pep_a_r1_c4_s1,必修第一册,knowledge_point,4.1.1,n次方根与根式,奇偶次方根的意义和性质,kp_r1_2_1_01,数学运算,根式化简|定义判断,偶次根结果漏绝对值,high,ready_for_teacher_review,user_pending
kp_r1_4_1_02,pep_a_r1_c4_s1,必修第一册,knowledge_point,4.1.2,分数指数幂,正数的分数指数幂定义,kp_r1_4_1_01,数学抽象|数学运算,根式指数互化,负底数随意使用分数指数,high,ready_for_teacher_review,user_pending
kp_r1_4_1_03,pep_a_r1_c4_s1,必修第一册,knowledge_point,4.1.3,实数指数幂运算,指数幂运算性质和化简,kp_r1_4_1_02,数学运算,指数化简|求值,指数运算顺序错误,high,ready_for_teacher_review,user_pending
pep_a_r1_c4_s2,pep_a_r1_c4,必修第一册,section,4.2,指数函数,指数函数图象性质和应用,pep_a_r1_c4_s1|pep_a_r1_c3_s2,数学抽象|直观想象,选择题|填空题|解答题,底数大于零且不等于一遗漏,high,ready_for_teacher_review,user_pending
kp_r1_4_2_01,pep_a_r1_c4_s2,必修第一册,knowledge_point,4.2.1,指数函数概念,形如y等于a的x次幂的函数,kp_r1_4_1_03|kp_r1_3_1_01,数学抽象,概念判断|求参数,系数或平移后仍误认原型,high,ready_for_teacher_review,user_pending
kp_r1_4_2_02,pep_a_r1_c4_s2,必修第一册,knowledge_point,4.2.2,指数函数图象,底数大于一和零到一的图象,kp_r1_4_2_01|kp_r1_3_1_04,直观想象,图象识别|参数变化,底数区间判断反向,high,ready_for_teacher_review,user_pending
kp_r1_4_2_03,pep_a_r1_c4_s2,必修第一册,knowledge_point,4.2.3,指数函数性质,定义域值域单调性和恒过点,kp_r1_4_2_02|kp_r1_3_2_01,逻辑推理|数学运算,比较大小|解不等式,底数小于一时不等号方向错误,high,ready_for_teacher_review,user_pending
kp_r1_4_2_04,pep_a_r1_c4_s2,必修第一册,knowledge_point,4.2.4,指数函数模型,增长衰减和倍增模型,kp_r1_4_2_03|kp_r1_3_4_01,数学建模,增长模型|应用题,把离散增长当连续增长,medium,ready_for_teacher_review,user_pending
pep_a_r1_c4_s3,pep_a_r1_c4,必修第一册,section,4.3,对数,对数定义运算和换底公式,pep_a_r1_c4_s1,数学运算,选择题|填空题,真数和底数条件遗漏,high,ready_for_teacher_review,user_pending
kp_r1_4_3_01,pep_a_r1_c4_s3,必修第一册,knowledge_point,4.3.1,对数概念,指数式与对数式互化,kp_r1_4_1_03,数学抽象|数学运算,互化求值|定义判断,真数非正或底数为一,high,ready_for_teacher_review,user_pending
kp_r1_4_3_02,pep_a_r1_c4_s3,必修第一册,knowledge_point,4.3.2,常用对数与自然对数,常用记号及基本值,kp_r1_4_3_01,数学运算,直接求值|符号辨析,省略底数后误判,medium,ready_for_teacher_review,user_pending
kp_r1_4_3_03,pep_a_r1_c4_s3,必修第一册,knowledge_point,4.3.3,对数运算性质,积商幂的对数运算,kp_r1_4_3_01,数学运算,对数化简|求值,把和的对数错误拆分,high,ready_for_teacher_review,user_pending
kp_r1_4_3_04,pep_a_r1_c4_s3,必修第一册,knowledge_point,4.3.4,换底公式,不同底对数的转换,kp_r1_4_3_03,数学运算,换底化简|比较大小,底与真数位置写反,high,ready_for_teacher_review,user_pending
pep_a_r1_c4_s4,pep_a_r1_c4,必修第一册,section,4.4,对数函数,对数函数图象性质和应用,pep_a_r1_c4_s2|pep_a_r1_c4_s3|pep_a_r1_c3_s2,数学抽象|直观想象,选择题|填空题|解答题,真数定义域遗漏,high,ready_for_teacher_review,user_pending
kp_r1_4_4_01,pep_a_r1_c4_s4,必修第一册,knowledge_point,4.4.1,对数函数概念,形如y等于log_a_x的函数,kp_r1_4_3_01|kp_r1_3_1_01,数学抽象,概念判断|求参数,复合形式直接视为原型,high,ready_for_teacher_review,user_pending
kp_r1_4_4_02,pep_a_r1_c4_s4,必修第一册,knowledge_point,4.4.2,对数函数图象,底数大于一和零到一的图象,kp_r1_4_4_01|kp_r1_3_1_04,直观想象,图象识别|平移,渐近线和恒过点混淆,high,ready_for_teacher_review,user_pending
kp_r1_4_4_03,pep_a_r1_c4_s4,必修第一册,knowledge_point,4.4.3,对数函数性质,定义域值域单调性和恒过点,kp_r1_4_4_02|kp_r1_3_2_01,逻辑推理|数学运算,比较大小|解不等式,忽略真数必须为正,high,ready_for_teacher_review,user_pending
kp_r1_4_4_04,pep_a_r1_c4_s4,必修第一册,knowledge_point,4.4.4,指数对数互逆关系,指数函数与对数函数图象关于y等于x对称,kp_r1_4_2_02|kp_r1_4_4_02,直观想象|数学抽象,图象综合|反函数关系,底数不一致仍判断互逆,medium,ready_for_teacher_review,user_pending
pep_a_r1_c4_s5,pep_a_r1_c4,必修第一册,section,4.5,函数的应用二,函数零点二分法和模型拟合,pep_a_r1_c4_s2|pep_a_r1_c4_s4,数学建模|数据分析,选择题|填空题|解答题,零点与图象交点概念混淆,high,ready_for_teacher_review,user_pending
kp_r1_4_5_01,pep_a_r1_c4_s5,必修第一册,knowledge_point,4.5.1,函数零点,函数零点与方程根的关系,kp_r1_3_1_01|kp_r1_2_3_02,数学抽象|直观想象,零点个数|方程根,把零点写成坐标点,high,ready_for_teacher_review,user_pending
kp_r1_4_5_02,pep_a_r1_c4_s5,必修第一册,knowledge_point,4.5.2,零点存在定理,连续区间端点函数值异号保证零点,kp_r1_4_5_01|kp_r1_3_2_01,逻辑推理,存在性判断|区间定位,误认为必有唯一零点,high,ready_for_teacher_review,user_pending
kp_r1_4_5_03,pep_a_r1_c4_s5,必修第一册,knowledge_point,4.5.3,二分法,用区间折半逼近零点,kp_r1_4_5_02,数学运算|逻辑推理,近似计算|算法步骤,保留了同号区间,medium,ready_for_teacher_review,user_pending
kp_r1_4_5_04,pep_a_r1_c4_s5,必修第一册,knowledge_point,4.5.4,函数模型比较与拟合,从数据选择线性指数对数等模型,kp_r1_3_4_02|kp_r1_4_2_04|kp_r1_4_4_03,数学建模|数据分析,图表建模|预测,超出样本范围过度外推,high,ready_for_teacher_review,user_pending
pep_a_r1_c5,pep_a_r1,必修第一册,chapter,5,三角函数,任意角三角函数图象恒等变换和应用,pep_a_r1_c3,数学抽象|直观想象|数学运算|数学建模,选择题|填空题|解答题,角度弧度和符号混淆,high,ready_for_teacher_review,user_pending
pep_a_r1_c5_s1,pep_a_r1_c5,必修第一册,section,5.1,任意角和弧度制,角的推广与弧度度量,pep_a_r1_c3_s1,数学抽象|数学运算,选择题|填空题,终边相同角和象限角混淆,high,ready_for_teacher_review,user_pending
kp_r1_5_1_01,pep_a_r1_c5_s1,必修第一册,knowledge_point,5.1.1,任意角,正角负角零角和旋转方向,kp_r1_3_1_01,数学抽象,概念判断|角的表示,负角方向理解错误,medium,ready_for_teacher_review,user_pending
kp_r1_5_1_02,pep_a_r1_c5_s1,必修第一册,knowledge_point,5.1.2,终边相同的角,相差整数个周角的角,kp_r1_5_1_01,数学运算,角的集合表示|范围筛选,漏写整数参数,high,ready_for_teacher_review,user_pending
kp_r1_5_1_03,pep_a_r1_c5_s1,必修第一册,knowledge_point,5.1.3,象限角与轴线角,根据终边位置判断角的集合,kp_r1_5_1_02,直观想象,象限判断|参数范围,把角所在象限当点所在象限,high,ready_for_teacher_review,user_pending
kp_r1_5_1_04,pep_a_r1_c5_s1,必修第一册,knowledge_point,5.1.4,弧度制,角度弧度互化及弧长扇形面积,kp_r1_5_1_01,数学运算,单位换算|几何计算,公式中角仍使用度数,high,ready_for_teacher_review,user_pending
pep_a_r1_c5_s2,pep_a_r1_c5,必修第一册,section,5.2,三角函数的概念,任意角三角函数和基本关系,pep_a_r1_c5_s1|pep_a_r1_c3_s1,数学抽象|直观想象,选择题|填空题,坐标符号和定义域错误,high,ready_for_teacher_review,user_pending
kp_r1_5_2_01,pep_a_r1_c5_s2,必修第一册,knowledge_point,5.2.1,任意角三角函数定义,用终边点坐标定义正弦余弦正切,kp_r1_5_1_03,数学抽象|直观想象,定义求值|符号判断,分母为零时仍定义正切,high,ready_for_teacher_review,user_pending
kp_r1_5_2_02,pep_a_r1_c5_s2,必修第一册,knowledge_point,5.2.2,三角函数值符号,按象限判断正弦余弦正切符号,kp_r1_5_2_01,直观想象,符号判断|象限确定,口诀象限使用错误,high,ready_for_teacher_review,user_pending
kp_r1_5_2_03,pep_a_r1_c5_s2,必修第一册,knowledge_point,5.2.3,同角三角函数基本关系,平方关系与商数关系,kp_r1_5_2_01,数学运算,已知一值求其余值|化简,开方时漏正负,high,ready_for_teacher_review,user_pending
kp_r1_5_2_04,pep_a_r1_c5_s2,必修第一册,knowledge_point,5.2.4,三角函数诱导初步,终边相同角的函数值关系,kp_r1_5_1_02|kp_r1_5_2_01,逻辑推理|数学运算,周期化简|求值,周期符号写错,medium,ready_for_teacher_review,user_pending
pep_a_r1_c5_s3,pep_a_r1_c5,必修第一册,section,5.3,诱导公式,利用对称关系化简三角函数,pep_a_r1_c5_s2,数学运算|逻辑推理,选择题|填空题,函数名与符号同时处理错误,high,ready_for_teacher_review,user_pending
kp_r1_5_3_01,pep_a_r1_c5_s3,必修第一册,knowledge_point,5.3.1,诱导公式组,与负角半周整周相关公式,kp_r1_5_2_04,数学运算,公式化简|求值,奇变偶不变使用对象混乱,high,ready_for_teacher_review,user_pending
kp_r1_5_3_02,pep_a_r1_c5_s3,必修第一册,knowledge_point,5.3.2,诱导公式的几何理解,用单位圆对称解释符号和函数名,kp_r1_5_2_01|kp_r1_5_3_01,直观想象|逻辑推理,公式推导|辨析,只背口诀不会判断符号,medium,ready_for_teacher_review,user_pending
kp_r1_5_3_03,pep_a_r1_c5_s3,必修第一册,knowledge_point,5.3.3,诱导公式综合化简,大角负角和复杂表达式化简,kp_r1_5_3_01,数学运算,化简求值|恒等式,没有先统一角的结构,high,ready_for_teacher_review,user_pending
pep_a_r1_c5_s4,pep_a_r1_c5,必修第一册,section,5.4,三角函数的图象与性质,正弦余弦正切图象性质,pep_a_r1_c5_s2|pep_a_r1_c5_s3|pep_a_r1_c3_s2,直观想象|数学运算,选择题|填空题|解答题,周期和单调区间端点错误,high,ready_for_teacher_review,user_pending
kp_r1_5_4_01,pep_a_r1_c5_s4,必修第一册,knowledge_point,5.4.1,正弦余弦函数图象,五点法和图象关系,kp_r1_5_2_01|kp_r1_3_1_04,直观想象,作图|图象识别,关键点横坐标错误,high,ready_for_teacher_review,user_pending
kp_r1_5_4_02,pep_a_r1_c5_s4,必修第一册,knowledge_point,5.4.2,正弦余弦函数性质,定义域值域周期奇偶单调和最值,kp_r1_5_4_01|kp_r1_3_2_05,逻辑推理|数学运算,性质综合|解不等式,单调区间整体平移错误,high,ready_for_teacher_review,user_pending
kp_r1_5_4_03,pep_a_r1_c5_s4,必修第一册,knowledge_point,5.4.3,正切函数图象与性质,定义域周期奇偶性和单调性,kp_r1_5_2_01|kp_r1_5_4_01,直观想象|数学运算,图象性质|解方程,漏掉无定义点,high,ready_for_teacher_review,user_pending
kp_r1_5_4_04,pep_a_r1_c5_s4,必修第一册,knowledge_point,5.4.4,三角函数性质综合,利用图象性质求参数范围和值域,kp_r1_5_4_02|kp_r1_5_4_03,逻辑推理|数学运算,综合题|参数题,复合角区间换算错误,high,ready_for_teacher_review,user_pending
